0x3528: bèi  # 㔨
0x3529: è  # 㔩
0x352A: lǔ  # 㔪
0x352D: chè  # 㔭
0x352E: nuó  # 㔮
0x352F: xuán  # 㔯
0x3530: héng  # 㔰
0x3531: yǔ  # 㔱
0x3533: guǐ  # 㔳
0x3534: yì  # 㔴
0x3535: xuǎn  # 㔵
0x3536: gòng  # 㔶
0x3537: lòu  # 㔷
0x3538: tī  # 㔸
0x3539: lè  # 㔹
0x353A: shì  # 㔺
0x353C: sǔn  # 㔼
0x353D: yào  # 㔽
0x353E: xiān  # 㔾
0x353F: zòu  # 㔿
0x3541: què  # 㕁
0x3542: yín  # 㕂
0x3543: xī  # 㕃
0x3544: zhǐ  # 㕄
0x3545: jiá  # 㕅
0x3546: hù  # 㕆
0x3547: lā  # 㕇
0x3548: yǐ  # 㕈
0x3549: kè  # 㕉
0x354A: fū  # 㕊
0x354B: qín  # 㕋
0x354C: ài  # 㕌
0x354E: kè  # 㕎
0x354F: chú  # 㕏
0x3550: xiě  # 㕐
0x3551: chú  # 㕑
0x3552: wēi  # 㕒
0x3555: huàn  # 㕕
0x3556: sù  # 㕖
0x3557: yòu  # 㕗
0x3559: jùn  # 㕙
0x355A: zhǎo  # 㕚
0x355B: xù  # 㕛
0x355C: shǐ  # 㕜
0x355E: shuā  # 㕞
0x355F: kuì  # 㕟
0x3560: shuāng  # 㕠
0x3561: hé  # 㕡
0x3562: gài  # 㕢
0x3563: yǎn  # 㕣
0x3564: qiú  # 㕤
0x3565: shēn  # 㕥
0x3566: huà  # 㕦
0x3567: xī  # 㕧
0x3568: fàn  # 㕨
0x3569: pàng  # 㕩
0x356A: dǎn  # 㕪
0x356B: fǎng  # 㕫
0x356C: gōng  # 㕬
0x356D: āo  # 㕭
0x356E: fǔ  # 㕮
0x356F: nè  # 㕯
0x3570: xuè  # 㕰
0x3571: yóu  # 㕱
0x3572: huá  # 㕲
0x3574: chén  # 㕴
0x3575: guó  # 㕵
0x3576: ň  # 㕶
0x3577: huà  # 㕷
0x3578: lì  # 㕸
0x3579: fá  # 㕹
0x357A: xiāo  # 㕺
0x357B: pǒu  # 㕻
0x357D: sì  # 㕽
0x3580: lè  # 㖀
0x3581: lìn  # 㖁
0x3582: yì  # 㖂
0x3583: hǒu  # 㖃
0x3585: xù  # 㖅
0x3586: qú  # 㖆
0x3587: ér  # 㖇
0x358A: xún  # 㖊
0x358F: niè  # 㖏
0x3590: wěi  # 㖐
0x3591: xiè  # 㖑
0x3592: tí  # 㖒
0x3593: hóng  # 㖓
0x3594: tǔn  # 㖔
0x3595: niè  # 㖕
0x3596: niè  # 㖖
0x3597: yín  # 㖗
0x3598: zhēn  # 㖘
0x359E: wāi  # 㖞
0x359F: shòu  # 㖟
0x35A0: nuò  # 㖠
0x35A1: yè  # 㖡
0x35A2: qí  # 㖢
0x35A3: tòu  # 㖣
0x35A4: hán  # 㖤
0x35A5: jùn  # 㖥
0x35A6: dǒng  # 㖦
0x35A7: hūn  # 㖧
0x35A8: lù  # 㖨
0x35A9: jū  # 㖩
0x35AA: huò  # 㖪
0x35AB: líng  # 㖫
0x35AD: tiǎn  # 㖭
0x35AE: lún  # 㖮
0x35B5: gé  # 㖵
0x35B6: yān  # 㖶
0x35B7: shí  # 㖷
0x35B8: xué  # 㖸
0x35B9: pēn  # 㖹
0x35BA: chǔn  # 㖺
0x35BB: niú  # 㖻
0x35BC: duǒ  # 㖼
0x35BD: zé  # 㖽
0x35BE: è  # 㖾
0x35BF: xié  # 㖿
0x35C0: yōu  # 㗀
0x35C1: è  # 㗁
0x35C2: shěng  # 㗂
0x35C3: wěn  # 㗃
0x35C4: kū  # 㗄
0x35C5: hú  # 㗅
0x35C6: gé  # 㗆
0x35C7: xiá  # 㗇
0x35C8: màn  # 㗈
0x35C9: lüè  # 㗉
0x35CA: jí  # 㗊
0x35CB: hóu  # 㗋
0x35CC: zhì  # 㗌
0x35CF: wāi  # 㗏
0x35D1: bai  # 㗑
0x35D2: ài  # 㗒
0x35D3: zhuī  # 㗓
0x35D4: qiān  # 㗔
0x35D5: gòu  # 㗕
0x35D6: dàn  # 㗖
0x35D7: bēi  # 㗗
0x35D8: bó  # 㗘
0x35D9: chū  # 㗙
0x35DA: lì  # 㗚
0x35DB: xiào  # 㗛
0x35DC: xiù  # 㗜
0x35E2: hóng  # 㗢
0x35E3: tì  # 㗣
0x35E4: cù  # 㗤
0x35E5: kuò  # 㗥
0x35E6: láo  # 㗦
0x35E7: zhì  # 㗧
0x35E8: xiē  # 㗨
0x35E9: xī  # 㗩
0x35EB: qiè  # 㗫
0x35EC: zhā  # 㗬
0x35ED: xī  # 㗭
0x35F0: cóng  # 㗰
0x35F1: jí  # 㗱
0x35F2: huò  # 㗲
0x35F3: tǎ  # 㗳
0x35F4: yán  # 㗴
0x35F5: xù  # 㗵
0x35F6: pō  # 㗶
0x35F7: sǎi  # 㗷
0x35FB: guō  # 㗻
0x35FC: yè  # 㗼
0x35FD: xiǎng  # 㗽
0x35FE: xuē  # 㗾
0x35FF: hé  # 㗿
0x3600: zuò  # 㘀
0x3601: yì  # 㘁
0x3602: cí  # 㘂
0x3604: lēng  # 㘄
0x3605: xián  # 㘅
0x3606: tǎi  # 㘆
0x3607: róng  # 㘇
0x3608: yì  # 㘈
0x3609: zhì  # 㘉
0x360A: xī  # 㘊
0x360B: xián  # 㘋
0x360C: jù  # 㘌
0x360D: jí  # 㘍
0x360E: hǎn  # 㘎
0x3610: pào  # 㘐
0x3611: lì  # 㘑
0x3613: lán  # 㘓
0x3614: sǎi  # 㘔
0x3615: hǎn  # 㘕
0x3616: yán  # 㘖
0x3617: qū  # 㘗
0x3619: yán  # 㘙
0x361A: hǎn  # 㘚
0x361B: kān  # 㘛
0x361C: chǐ  # 㘜
0x361D: niè  # 㘝
0x361E: huò  # 㘞
0x3620: bì  # 㘠
0x3621: xiá  # 㘡
0x3622: wěng  # 㘢
0x3623: xuán  # 㘣
0x3624: wān  # 㘤
0x3625: yóu  # 㘥
0x3626: qín  # 㘦
0x3627: xù  # 㘧
0x3628: niè  # 㘨
0x3629: bì  # 㘩
0x362A: hào  # 㘪
0x362B: jǐng  # 㘫
0x362C: ào  # 㘬
0x362D: ào  # 㘭
0x3630: zhēn  # 㘰
0x3631: tān  # 㘱
0x3632: jú  # 㘲
0x3634: zuò  # 㘴
0x3635: bù  # 㘵
0x3636: jié  # 㘶
0x3637: ài  # 㘷
0x3638: zàng  # 㘸
0x3639: cí  # 㘹
0x363A: fá  # 㘺
0x363F: niè  # 㘿
0x3640: liù  # 㙀
0x3641: méi  # 㙁
0x3642: duì  # 㙂
0x3643: bāng  # 㙃
0x3644: bì  # 㙄
0x3645: bǎo  # 㙅
0x3647: chù  # 㙇
0x3648: xià  # 㙈
0x3649: tiǎn  # 㙉
0x364A: cháng  # 㙊
0x364D: duō  # 㙍
0x364E: wēi  # 㙎
0x364F: fù  # 㙏
0x3650: duǒ  # 㙐
0x3651: yǔ  # 㙑
0x3652: yě  # 㙒
0x3653: kuí  # 㙓
0x3654: wěi  # 㙔
0x3655: kuài  # 㙕
0x3657: wēi  # 㙗
0x3658: yāo  # 㙘
0x3659: lǒng  # 㙙
0x365A: xīng  # 㙚
0x365B: bǔ  # 㙛
0x365C: chí  # 㙜
0x365D: xié  # 㙝
0x365E: niè  # 㙞
0x365F: lǎng  # 㙟
0x3660: yī  # 㙠
0x3661: zōng  # 㙡
0x3662: mán  # 㙢
0x3663: zhàng  # 㙣
0x3664: xià  # 㙤
0x3665: gùn  # 㙥
0x3666: xié  # 㙦
0x3668: jì  # 㙨
0x3669: liáo  # 㙩
0x366A: yì  # 㙪
0x366B: jí  # 㙫
0x366C: yín  # 㙬
0x366E: dā  # 㙮
0x366F: yì  # 㙯
0x3670: xiè  # 㙰
0x3671: hào  # 㙱
0x3672: yǒng  # 㙲
0x3673: kǎn  # 㙳
0x3674: chàn  # 㙴
0x3675: tái  # 㙵
0x3676: táng  # 㙶
0x3677: zhí  # 㙷
0x3678: bào  # 㙸
0x3679: méng  # 㙹
0x367A: kuí  # 㙺
0x367B: chán  # 㙻
0x367C: lěi  # 㙼
0x367E: xì  # 㙾
0x3680: xī  # 㚀
0x3681: qiào  # 㚁
0x3682: nàng  # 㚂
0x3683: yūn  # 㚃
0x3685: lóng  # 㚅
0x3686: fù  # 㚆
0x3687: zōng  # 㚇
0x3689: gǔ  # 㚉
0x368A: kāi  # 㚊
0x368B: diāo  # 㚋
0x368C: huà  # 㚌
0x368D: kuǐ  # 㚍
0x368F: gǎo  # 㚏
0x3690: tào  # 㚐
0x3692: shǎn  # 㚒
0x3693: lǎi  # 㚓
0x3694: niè  # 㚔
0x3695: fú  # 㚕
0x3696: gǎo  # 㚖
0x3697: qié  # 㚗
0x3698: bàn  # 㚘
0x3699: jiā  # 㚙
0x369A: kōng  # 㚚
0x369B: xì  # 㚛
0x369C: yù  # 㚜
0x369D: zhuī  # 㚝
0x369E: shěn  # 㚞
0x369F: chuò  # 㚟
0x36A0: xiāo  # 㚠
0x36A1: jǐ  # 㚡
0x36A2: nú  # 㚢
0x36A3: xiáo  # 㚣
0x36A4: yì  # 㚤
0x36A5: yú  # 㚥
0x36A6: yí  # 㚦
0x36A7: yǎn  # 㚧
0x36A8: shěn  # 㚨
0x36A9: rǎn  # 㚩
0x36AA: hào  # 㚪
0x36AB: sà  # 㚫
0x36AC: jūn  # 㚬
0x36AD: yóu  # 㚭
0x36AF: xín  # 㚯
0x36B0: pēi  # 㚰
0x36B1: qiū  # 㚱
0x36B2: chān  # 㚲
0x36B4: bù  # 㚴
0x36B5: dōng  # 㚵
0x36B6: sì  # 㚶
0x36B7: ěr  # 㚷
0x36B9: mǎo  # 㚹
0x36BA: yùn  # 㚺
0x36BB: jī  # 㚻
0x36BD: qiǎo  # 㚽
0x36BE: xiōng  # 㚾
0x36BF: páo  # 㚿
0x36C0: chú  # 㛀
0x36C1: pēng  # 㛁
0x36C2: nuǒ  # 㛂
0x36C3: jié  # 㛃
0x36C4: yī  # 㛄
0x36C5: èr  # 㛅
0x36C6: duò  # 㛆
0x36CA: duǒ  # 㛊
0x36CD: qiè  # 㛍
0x36CE: lǚ  # 㛎
0x36CF: qiú  # 㛏
0x36D0: sǒu  # 㛐
0x36D1: càn  # 㛑
0x36D2: dòu  # 㛒
0x36D3: xī  # 㛓
0x36D4: fēng  # 㛔
0x36D5: yì  # 㛕
0x36D6: suō  # 㛖
0x36D7: qiē  # 㛗
0x36D8: pò  # 㛘
0x36D9: xīn  # 㛙
0x36DA: tǒng  # 㛚
0x36DB: xìn  # 㛛
0x36DC: yóu  # 㛜
0x36DD: bèi  # 㛝
0x36DE: lòng  # 㛞
0x36E3: yún  # 㛣
0x36E4: lí  # 㛤
0x36E5: tà  # 㛥
0x36E6: lǎn  # 㛦
0x36E7: mǎn  # 㛧
0x36E8: qiǎng  # 㛨
0x36E9: zhóu  # 㛩
0x36EA: yàn  # 㛪
0x36EB: xī  # 㛫
0x36EC: lù  # 㛬
0x36ED: xī  # 㛭
0x36EE: sǎo  # 㛮
0x36EF: fàn  # 㛯
0x36F1: wěi  # 㛱
0x36F2: fà  # 㛲
0x36F3: yì  # 㛳
0x36F4: nǎo  # 㛴
0x36F5: chēng  # 㛵
0x36F6: tàn  # 㛶
0x36F7: jī  # 㛷
0x36F8: shù  # 㛸
0x36F9: pián  # 㛹
0x36FA: ān  # 㛺
0x36FB: kuā  # 㛻
0x36FC: chā  # 㛼
0x36FE: xián  # 㛾
0x36FF: zhì  # 㛿
0x3702: fēng  # 㜂
0x3703: liàn  # 㜃
0x3704: xún  # 㜄
0x3705: xù  # 㜅
0x3706: mì  # 㜆
0x3707: huì  # 㜇
0x3708: mù  # 㜈
0x3709: yōng  # 㜉
0x370A: zhǎn  # 㜊
0x370B: yì  # 㜋
0x370C: nǒu  # 㜌
0x370D: táng  # 㜍
0x370E: xī  # 㜎
0x370F: yún  # 㜏
0x3710: shù  # 㜐
0x3711: fú  # 㜑
0x3712: yì  # 㜒
0x3713: dá  # 㜓
0x3715: lián  # 㜕
0x3716: cáo  # 㜖
0x3717: cān  # 㜗
0x3718: jù  # 㜘
0x3719: lù  # 㜙
0x371A: sù  # 㜚
0x371B: nèn  # 㜛
0x371C: ào  # 㜜
0x371D: ǎn  # 㜝
0x371E: qiàn  # 㜞
0x3720: cuī  # 㜠
0x3721: cōng  # 㜡
0x3723: rán  # 㜣
0x3724: niǎn  # 㜤
0x3725: mái  # 㜥
0x3726: xín  # 㜦
0x3727: yuè  # 㜧
0x3728: nái  # 㜨
0x3729: ào  # 㜩
0x372A: shēn  # 㜪
0x372B: mà  # 㜫
0x372E: làn  # 㜮
0x372F: xī  # 㜯
0x3730: yuè  # 㜰
0x3731: zhì  # 㜱
0x3732: wěng  # 㜲
0x3733: huái  # 㜳
0x3734: mèng  # 㜴
0x3735: niǎo  # 㜵
0x3736: wǎn  # 㜶
0x3737: mí  # 㜷
0x3738: niè  # 㜸
0x3739: qú  # 㜹
0x373A: zàn  # 㜺
0x373B: liàn  # 㜻
0x373C: zhí  # 㜼
0x373D: zǐ  # 㜽
0x373E: hái  # 㜾
0x373F: xù  # 㜿
0x3740: hào  # 㝀
0x3741: xuān  # 㝁
0x3742: zhì  # 㝂
0x3743: miǎn  # 㝃
0x3744: chún  # 㝄
0x3745: gòu  # 㝅
0x3747: chún  # 㝇
0x3748: luán  # 㝈
0x3749: zhù  # 㝉
0x374A: shǒu  # 㝊
0x374B: liǎo  # 㝋
0x374C: jiù  # 㝌
0x374D: xiě  # 㝍
0x374E: dìng  # 㝎
0x374F: jiè  # 㝏
0x3750: róng  # 㝐
0x3751: máng  # 㝑
0x3753: kè  # 㝓
0x3754: yǎo  # 㝔
0x3755: níng  # 㝕
0x3756: yí  # 㝖
0x3757: láng  # 㝗
0x3758: yóng  # 㝘
0x3759: yín  # 㝙
0x375A: yán  # 㝚
0x375B: sù  # 㝛
0x375D: lín  # 㝝
0x375E: yā  # 㝞
0x375F: máo  # 㝟
0x3760: míng  # 㝠
0x3761: zuì  # 㝡
0x3762: yǔ  # 㝢
0x3763: yì  # 㝣
0x3764: gòu  # 㝤
0x3765: mǐ  # 㝥
0x3766: jùn  # 㝦
0x3767: wěn  # 㝧
0x3769: kāng  # 㝩
0x376A: diàn  # 㝪
0x376B: lóng  # 㝫
0x376D: xǐng  # 㝭
0x376E: cuì  # 㝮
0x376F: qiáo  # 㝯
0x3770: mián  # 㝰
0x3771: mèng  # 㝱
0x3772: qǐn  # 㝲
0x3774: wán  # 㝴
0x3775: dé  # 㝵
0x3776: ài  # 㝶
0x3778: biàn  # 㝸
0x3779: nóu  # 㝹
0x377A: lián  # 㝺
0x377B: jǐn  # 㝻
0x377C: yū  # 㝼
0x377D: chuí  # 㝽
0x377E: zuǒ  # 㝾
0x377F: bǒ  # 㝿
0x3780: huī  # 㞀
0x3781: yào  # 㞁
0x3782: tuǐ  # 㞂
0x3783: jì  # 㞃
0x3784: ān  # 㞄
0x3785: luò  # 㞅
0x3786: jǐ  # 㞆
0x3787: wěi  # 㞇
0x3788: bō  # 㞈
0x3789: zā  # 㞉
0x378A: xù  # 㞊
0x378B: niǎn  # 㞋
0x378C: yùn  # 㞌
0x378E: bǎ  # 㞎
0x378F: zhé  # 㞏
0x3790: jū  # 㞐
0x3791: wěi  # 㞑
0x3792: xiè  # 㞒
0x3793: qì  # 㞓
0x3794: yí  # 㞔
0x3795: xiè  # 㞕
0x3796: cí  # 㞖
0x3797: qiú  # 㞗
0x3798: dū  # 㞘
0x3799: niào  # 㞙
0x379A: qì  # 㞚
0x379B: jǐ  # 㞛
