0x50C5: jǐn  # 僅
0x50CF: xiàng  # 像
0x50DA: liáo  # 僚
0x50F1: gù  # 僱
0x50F5: jiāng  # 僵
0x50F9: jià  # 價
0x5100: yí  # 儀
0x5104: yì  # 億
0x5109: jiǎn  # 儉
0x511F: cháng  # 償
0x512A: yoū  # 優
0x5132: chǔ  # 儲
0x513F: r,ér  # 儿
0x5141: yǔn  # 允
0x5143: yuán  # 元
0x5144: xiōng,xiong  # 兄
0x5145: chōng  # 充
0x5148: xiān  # 先
0x5149: guāng  # 光
0x514B: kè  # 克
0x514D: miǎn  # 免
0x5152: r,ér  # 兒
0x5154: tù  # 兔
0x515A: dǎng  # 党
0x515C: doū  # 兜
0x5165: rù  # 入
0x5167: nèi  # 內
0x5168: quán  # 全
0x5169: liǎng  # 兩
0x516B: bā  # 八
0x516C: gōng  # 公
0x516D: liù  # 六
0x5171: gòng  # 共
0x5173: guān  # 关
0x5174: xìng,xīng  # 兴
0x5175: bīng  # 兵
0x5176: qí  # 其
0x5177: jù,ju  # 具
0x5178: diǎn  # 典
0x517B: yǎng  # 养
0x517C: jiān  # 兼
0x517D: shoù  # 兽
0x5185: nèi  # 内
0x5188: gāng  # 冈
0x518A: cè  # 冊
0x518C: cè  # 册
0x518D: zài  # 再
0x5192: mào  # 冒
0x5199: xiě  # 写
0x519B: jūn  # 军
0x519C: nóng  # 农
0x51A4: yuān  # 冤
0x51AC: dōng  # 冬
0x51B0: bīng  # 冰
0x51B2: chōng,chòng  # 冲
0x51B3: jué  # 决
0x51B5: kuàng  # 况
0x51B6: yě  # 冶
0x51B7: lěng  # 冷
0x51BB: dòng  # 冻
0x51C0: jìng  # 净
0x51C4: qī  # 凄
0x51C6: zhǔn  # 准
0x51C9: liáng  # 凉
0x51CD: dòng  # 凍
0x51CF: jiǎn  # 减
0x51D1: coù  # 凑
0x51DD: níng  # 凝
0x51E0: jǐ,jī  # 几
0x51E1: fán  # 凡
0x51E4: fèng  # 凤
0x51EB: fú  # 凫
0x51ED: píng  # 凭
0x51F0: huáng  # 凰
0x51F3: dèng  # 凳
0x51F6: xiōng  # 凶
0x51F8: tū  # 凸
0x51F9: āo  # 凹
0x51FA: chū  # 出
0x51FB: jī  # 击
0x51FF: záo  # 凿
0x5200: dāo  # 刀
0x5206: fēn,fèn,fen  # 分
0x5207: qiè,qiē  # 切
0x520A: kān  # 刊
0x5211: xíng  # 刑
0x5212: huà,huá  # 划
0x5217: liè  # 列
0x5219: zé  # 则
0x521A: gāng  # 刚
0x521B: chuàng,chuāng  # 创
0x521D: chū  # 初
0x5224: pàn  # 判
0x5225: bié,biè  # 別
0x5228: páo  # 刨
0x5229: lì,li  # 利
0x522B: bié,biè  # 别
0x522E: guā  # 刮
0x5230: dào,dao  # 到
0x5236: zhì  # 制
0x5237: shuā  # 刷
0x5239: shā,chà  # 刹
0x523A: cì  # 刺
0x523B: kè  # 刻
0x5242: jì  # 剂
0x5247: zé  # 則
0x524A: xuē,xiāo  # 削
0x524D: qián  # 前
0x524E: shā,chà  # 剎
0x5251: jiàn  # 剑
0x5254: tī  # 剔
0x5256: poū  # 剖
0x525B: gāng  # 剛
0x525D: bō  # 剝
0x5265: bō  # 剥
0x5267: jù  # 剧
0x5269: shèng  # 剩
0x526A: jiǎn  # 剪
0x526F: fù  # 副
0x5272: gē  # 割
0x5275: chuàng,chuāng  # 創
0x527F: jiǎo  # 剿
0x5287: jù  # 劇
0x5288: pī  # 劈
0x528D: jiàn  # 劍
0x5291: jì  # 劑
0x529B: lì,li  # 力
0x529D: quàn  # 劝
0x529E: bàn  # 办
0x529F: gōng  # 功
0x52A0: jiā  # 加
0x52A1: wu,wù  # 务
0x52A3: liè  # 劣
0x52A8: dòng  # 动
0x52A9: zhù  # 助
0x52AA: nǔ  # 努
0x52B1: lì  # 励
0x52B2: jìn  # 劲
0x52B3: láo  # 劳
0x52BF: shì,shi  # 势
0x52C1: jìn  # 勁
0x52C3: bó  # 勃
0x52C7: yǒng  # 勇
0x52C9: miǎn  # 勉
0x52D2: lēi  # 勒
0x52D5: dòng  # 動
0x52D8: kān  # 勘
0x52D9: wu,wù  # 務
0x52DD: shèng  # 勝
0x52DE: láo  # 勞
0x52E2: shì,shi  # 勢
0x52E4: qín  # 勤
0x52F5: lì  # 勵
0x52F8: quàn  # 勸
0x52FB: yún  # 勻
0x52FE: goū  # 勾
0x5300: yún  # 匀
0x5305: bāo  # 包
0x5306: cōng  # 匆
0x5316: huà  # 化
0x5317: běi  # 北
0x5319: shi  # 匙
0x5320: jiang,jiàng  # 匠
0x532A: fěi  # 匪
0x532F: huì  # 匯
0x5339: pǐ  # 匹
0x533A: qū  # 区
0x533B: yī  # 医
0x533E: biǎn  # 匾
0x5340: qū  # 區
0x5341: shí  # 十
0x5343: qiān  # 千
0x5347: shēng  # 升
0x5348: wǔ,wu  # 午
0x534A: bàn  # 半
0x534E: huá  # 华
0x534F: xié  # 协
0x5351: bēi  # 卑
0x5354: xié  # 協
0x5355: dān  # 单
0x5356: mài,mai  # 卖
0x5357: nán  # 南
0x535A: bó  # 博
0x535C: bo  # 卜
0x5360: zhàn  # 占
0x5361: kǎ  # 卡
0x5367: wò  # 卧
0x536B: wèi  # 卫
0x5370: yìn  # 印
0x5371: wēi  # 危
0x5373: jí  # 即
0x5374: què  # 却
0x5375: luǎn  # 卵
0x5377: juǎn,juàn  # 卷
0x5378: xiè  # 卸
0x537B: què  # 卻
0x5382: chǎng  # 厂
0x5385: tīng  # 厅
0x5386: lì  # 历
0x5389: lì  # 厉
0x538B: yā  # 压
0x538C: yàn  # 厌
0x5395: cè  # 厕
0x5398: lí  # 厘
0x539A: hoù  # 厚
0x539F: yuán  # 原
0x53A2: xiāng  # 厢
0x53A6: shà  # 厦
0x53A8: chú  # 厨
0x53AD: yàn  # 厭
0x53B2: lì  # 厲
0x53BB: qù  # 去
0x53BF: xiàn  # 县
0x53C2: cān,shēn  # 参
0x53C3: cān,shēn  # 參
0x53C8: yoù  # 又
0x53CA: jí  # 及
0x53CB: you,yoǔ  # 友
0x53CC: shuāng  # 双
0x53CD: fǎn  # 反
0x53D1: fā,fa,fà  # 发
0x53D4: shū,shu  # 叔
0x53D6: qǔ  # 取
0x53D7: shoù  # 受
0x53D8: biàn  # 变
0x53D9: xù  # 叙
0x53DB: pàn  # 叛
0x53E0: dié  # 叠
0x53E2: cóng  # 叢
0x53E3: koǔ,kou  # 口
0x53E4: gǔ  # 古
0x53E5: jù  # 句
0x53E6: lìng  # 另
0x53EA: zhǐ,zhī  # 只
0x53EB: jiào  # 叫
0x53EC: zhào  # 召
0x53ED: ba  # 叭
0x53EE: dīng  # 叮
0x53EF: kě  # 可
0x53F0: tái  # 台
0x53F2: shǐ  # 史
0x53F3: yoù  # 右
0x53F6: yè  # 叶
0x53F7: hào,hao,háo  # 号
0x53F8: sī  # 司
0x53F9: tàn  # 叹
0x53FC: diāo  # 叼
0x5401: xū,yù  # 吁
