0x4C00: wǒ  # 䰀
0x4C16: zuǎn  # 䰖
0x4C1B: lì  # 䰛
0x4C57: cān  # 䱗
0x4C5A: lù  # 䱚
0x4C5B: huò  # 䱛
0x4C68: là  # 䱨
0x4C75: wēng  # 䱵
0x4C77: yú  # 䱷
0x4C7B: huá  # 䱻
0x4C97: xián  # 䲗
0x4C9F: yìn  # 䲟
0x4CA0: chūn  # 䲠
0x4CA2: téng  # 䲢
0x4CCD: gōng  # 䳍
0x4CD8: é  # 䳘
0x4D13: shī  # 䴓
0x4D14: jiāo  # 䴔
0x4D15: liè  # 䴕
0x4D16: jīng  # 䴖
0x4D17: jú  # 䴗
0x4D19: pì  # 䴙
0x4D1A: gǎng  # 䴚
0x4D25: jiā  # 䴥
0x4D38: fū  # 䴸
0x4D5A: tǎo  # 䵚
0x4D8A: nǜ  # 䶊
0x4D95: bà  # 䶕
0x4D97: kè,qiā  # 䶗
0x4DA7: yǎo  # 䶧
0x4DAE: yǎn  # 䶮
0x4E00: yī,yí,yì  # 一
0x4E01: dīng,zhēng  # 丁
0x4E03: qī,qí  # 七
0x4E07: mò,wàn  # 万
0x4E08: zhàng  # 丈
0x4E09: sān  # 三
0x4E0A: shǎng,shàng  # 上
0x4E0B: xià  # 下
0x4E0D: bú,bù  # 不
0x4E0E: yú,yǔ,yù  # 与
0x4E0F: miǎn  # 丏
0x4E10: gài  # 丐
0x4E11: chǒu  # 丑
0x4E13: zhuān  # 专
0x4E14: jū,qiě  # 且
0x4E15: pī  # 丕
0x4E16: shì  # 世
0x4E18: qiū  # 丘
0x4E19: bǐng  # 丙
0x4E1A: yè  # 业
0x4E1B: cóng  # 丛
0x4E1C: dōng  # 东
0x4E1D: sī  # 丝
0x4E1E: chéng  # 丞
0x4E1F: diū  # 丟
0x4E22: diū  # 丢
0x4E24: liǎng  # 两
0x4E25: yán  # 严
0x4E26: bìng  # 並
0x4E27: sāng,sàng  # 丧
0x4E2A: gè,gě  # 个
0x4E2B: yā  # 丫
0x4E2D: zhōng,zhòng  # 中
0x4E30: fēng  # 丰
0x4E31: guàn  # 丱
0x4E32: chuàn  # 串
0x4E34: lín  # 临
0x4E38: wán  # 丸
0x4E39: dān  # 丹
0x4E3A: wéi,wèi  # 为
0x4E3B: zhǔ  # 主
0x4E3D: lí,lì  # 丽
0x4E3E: jǔ  # 举
0x4E42: yì  # 乂
0x4E43: nǎi  # 乃
0x4E45: jiǔ  # 久
0x4E47: tuō  # 乇
0x4E48: ma,me,yāo  # 么
0x4E49: yì  # 义
0x4E4B: zhī  # 之
0x4E4C: wū,wù  # 乌
0x4E4D: zhà  # 乍
0x4E4E: hū  # 乎
0x4E4F: fá  # 乏
0x4E50: lè,yuè  # 乐
0x4E52: pīng  # 乒
0x4E53: pāng  # 乓
0x4E54: qiáo  # 乔
0x4E56: guāi  # 乖
0x4E58: chéng,shèng  # 乘
0x4E59: yǐ  # 乙
0x4E5C: miē,niè  # 乜
0x4E5D: jiǔ  # 九
0x4E5E: qǐ  # 乞
0x4E5F: yě  # 也
0x4E60: xí  # 习
0x4E61: xiāng  # 乡
0x4E66: shū  # 书
0x4E69: jī  # 乩
0x4E70: mǎi  # 买
0x4E71: luàn  # 乱
0x4E73: rǔ  # 乳
0x4E78: nǎ  # 乸
0x4E7E: gān,qián  # 乾
0x4E82: luàn  # 亂
0x4E86: le,liǎo,liào  # 了
0x4E88: yú,yǔ  # 予
0x4E89: zhēng  # 争
0x4E8B: shì  # 事
0x4E8C: èr  # 二
0x4E8D: chù  # 亍
0x4E8E: yú  # 于
0x4E8F: kuī  # 亏
0x4E91: yún  # 云
0x4E92: hù  # 互
0x4E93: qí  # 亓
0x4E94: wǔ  # 五
0x4E95: jǐng  # 井
0x4E98: gèn  # 亘
0x4E99: gèn  # 亙
0x4E9A: yà  # 亚
0x4E9B: xiē  # 些
0x4E9E: yà  # 亞
0x4E9F: jí,qì  # 亟
0x4EA1: wáng  # 亡
0x4EA2: kàng  # 亢
0x4EA4: jiāo  # 交
0x4EA5: hài  # 亥
0x4EA6: yì  # 亦
0x4EA7: chǎn  # 产
0x4EA8: hēng  # 亨
0x4EA9: mǔ  # 亩
0x4EAB: xiǎng  # 享
0x4EAC: jīng  # 京
0x4EAD: tíng  # 亭
0x4EAE: liàng  # 亮
0x4EB1: yè  # 亱
0x4EB2: qīn,qìng  # 亲
0x4EB3: bó  # 亳
0x4EB5: xiè  # 亵
0x4EB6: dǎn,dàn  # 亶
0x4EB7: lián  # 亷
0x4EB8: duǒ  # 亸
0x4EB9: mén,wěi  # 亹
0x4EBA: rén  # 人
0x4EBE: wáng  # 亾
0x4EBF: yì  # 亿
0x4EC0: shén,shí  # 什
0x4EC1: rén  # 仁
0x4EC2: lè  # 仂
0x4EC3: dīng  # 仃
0x4EC4: zè  # 仄
0x4EC5: jǐn,jìn  # 仅
0x4EC6: pū,pú  # 仆
0x4EC7: chóu,qiú  # 仇
0x4EC9: zhǎng  # 仉
0x4ECA: jīn  # 今
0x4ECB: jiè  # 介
0x4ECD: réng  # 仍
0x4ECE: cōng,cóng  # 从
0x4ED1: lún  # 仑
0x4ED3: cāng  # 仓
0x4ED4: zǎi,zī,zǐ  # 仔
0x4ED5: shì  # 仕
0x4ED6: tā  # 他
0x4ED7: zhàng  # 仗
0x4ED8: fù  # 付
0x4ED9: xiān  # 仙
0x4EDB: tuō  # 仛
0x4EDD: tóng  # 仝
0x4EDE: rèn  # 仞
0x4EDF: qiān  # 仟
0x4EE1: gē,yì  # 仡
0x4EE3: dài  # 代
0x4EE4: líng,lǐng,lìng  # 令
0x4EE5: yǐ  # 以
0x4EE8: sā  # 仨
0x4EEA: yí  # 仪
0x4EEB: mù  # 仫
0x4EEC: men  # 们
0x4EF0: yǎng  # 仰
0x4EF2: zhòng  # 仲
0x4EF3: pǐ  # 仳
0x4EF5: wǔ  # 仵
0x4EF6: jiàn  # 件
0x4EF7: jià,jiè,jie  # 价
0x4EFB: rén,rèn  # 任
0x4EFD: fèn  # 份
0x4EFF: fǎng  # 仿
0x4F00: zhōng  # 伀
0x4F01: qǐ  # 企
0x4F03: yú  # 伃
0x4F08: xǐn  # 伈
0x4F09: kàng  # 伉
0x4F0A: yī  # 伊
0x4F0B: jí  # 伋
0x4F0D: wǔ  # 伍
0x4F0E: jì  # 伎
0x4F0F: fú  # 伏
0x4F10: fá  # 伐
0x4F11: xiū  # 休
0x4F15: fū  # 伕
0x4F17: zhòng  # 众
0x4F18: yōu  # 优
0x4F19: huǒ  # 伙
0x4F1A: huì,kuài  # 会
0x4F1B: yǔ  # 伛
0x4F1E: sǎn  # 伞
0x4F1F: wěi  # 伟
0x4F20: chuán,zhuàn  # 传
0x4F21: chē  # 伡
0x4F22: yá  # 伢
0x4F24: shāng  # 伤
0x4F25: chāng  # 伥
0x4F26: lún  # 伦
0x4F27: cāng,chen  # 伧
0x4F2A: wěi  # 伪
0x4F2B: zhù  # 伫
0x4F2F: bǎi,bó  # 伯
0x4F30: gū,gù  # 估
0x4F32: nì  # 伲
0x4F34: bàn  # 伴
0x4F36: líng  # 伶
0x4F37: zhòu  # 伷
0x4F38: shēn  # 伸
0x4F3A: cì,sì  # 伺
0x4F3C: shì,sì  # 似
0x4F3D: gā,jiā,qié  # 伽
0x4F3E: pī  # 伾
0x4F40: sì  # 佀
0x4F43: diàn,tián  # 佃
0x4F46: dàn  # 但
0x4F47: zhù  # 佇
0x4F48: bù  # 佈
0x4F49: qū  # 佉
0x4F4A: bǐ  # 佊
0x4F4D: wèi  # 位
0x4F4E: dī  # 低
0x4F4F: zhù  # 住
0x4F50: zuǒ  # 佐
0x4F51: yòu  # 佑
0x4F53: tī,tǐ  # 体
0x4F54: zhàn  # 佔
0x4F55: hé  # 何
0x4F57: tuó  # 佗
0x4F58: shé  # 佘
0x4F59: yú  # 余
0x4F5A: yì  # 佚
0x4F5B: fó,fú  # 佛
0x4F5C: zuō,zuó,zuò  # 作
0x4F5D: gōu  # 佝
0x4F5E: nìng  # 佞
0x4F5F: tóng  # 佟
0x4F60: nǐ  # 你
0x4F62: qú  # 佢
0x4F63: yōng,yòng  # 佣
0x4F64: wǎ  # 佤
0x4F65: qiān  # 佥
0x4F67: kǎ  # 佧
0x4F69: pèi  # 佩
0x4F6B: hè  # 佫
0x4F6C: lǎo  # 佬
0x4F6F: yáng  # 佯
0x4F70: bǎi  # 佰
0x4F73: jiā  # 佳
0x4F74: èr,nài  # 佴
0x4F76: jí  # 佶
0x4F79: guǐ  # 佹
0x4F7A: quán  # 佺
0x4F7B: tiāo  # 佻
0x4F7C: jiǎo  # 佼
0x4F7D: cì  # 佽
0x4F7E: yì  # 佾
0x4F7F: shǐ  # 使
0x4F81: shēn  # 侁
0x4F82: tuō  # 侂
0x4F83: kǎn  # 侃
